Date,Daily ROR,Index Value
02/12/2016,-0.1583%,684.89
02/11/2016,-0.2176%,685.98
02/10/2016,0.0929%,687.48
02/09/2016,0.0596%,686.84
02/08/2016,-0.8024%,686.43
02/05/2016,0.3874%,691.98
02/04/2016,0.3413%,689.31
02/03/2016,-0.5143%,686.97
02/02/2016,0.0596%,690.52
02/01/2016,0.0953%,690.1
01/29/2016,-0.1634%,689.45
01/28/2016,-0.2427%,690.58
01/27/2016,0.4629%,692.26
01/26/2016,-0.3706%,689.07
01/25/2016,0.6434%,691.63
01/22/2016,-0.1626%,687.21
01/21/2016,0.7336%,688.33
01/20/2016,-0.9312%,683.32
01/19/2016,-0.3725%,689.74
01/15/2016,-0.1347%,692.32
01/14/2016,-0.8694%,693.25
01/13/2016,0.5629%,699.33
01/12/2016,-0.3011%,695.42
01/11/2016,-0.4922%,697.52
01/08/2016,0.1672%,700.97
01/07/2016,-0.1634%,699.8
01/06/2016,-0.0542%,700.94
01/05/2016,0.0336%,701.32
01/04/2016,-0.1517%,701.09
12/31/2015,-0.0921%,702.15
12/30/2015,0.4005%,702.8
12/29/2015,-0.2592%,700
12/28/2015,-0.1693%,701.81
12/24/2015,0.2452%,703.01
12/23/2015,0.0888%,701.29
12/22/2015,-0.0307%,700.66
12/21/2015,-0.2268%,700.88
12/18/2015,-0.2183%,702.47
12/17/2015,0.4135%,704.01
12/16/2015,-0.1426%,701.11
12/15/2015,0.1182%,702.11
12/14/2015,-0.5836%,701.28
12/11/2015,-0.1366%,705.4
12/10/2015,-0.1548%,706.36
